threads size iterations precision time
1 2 10 9.290507e-04 0.000
1 4 32 8.637158e-04 0.000
1 8 101 9.516504e-04 0.000
1 16 303 9.866165e-04 0.000
1 32 702 9.940066e-04 0.001
1 64 1084 9.972884e-04 0.002
1 128 1264 9.987003e-04 0.005
1 256 1331 9.997889e-04 0.009
1 512 1360 9.968687e-04 0.017
1 1024 1373 9.975512e-04 0.033
1 2048 1379 9.991673e-04 0.065
1 4096 1382 9.996832e-04 0.128
1 8192 1384 9.973784e-04 0.257
1 16384 1385 9.962115e-04 0.513
1 32768 1385 9.981108e-04 1.026
1 65536 1385 9.990605e-04 2.048
2 2 10 9.290507e-04 0.000
2 4 32 8.637158e-04 0.000
2 8 101 9.516504e-04 0.001
2 16 303 9.866165e-04 0.001
2 32 702 9.940066e-04 0.002
2 64 1084 9.972884e-04 0.003
2 128 1264 9.987003e-04 0.004
2 256 1331 9.997889e-04 0.010
2 512 1360 9.968687e-04 0.011
2 1024 1373 9.975512e-04 0.024
2 2048 1379 9.991673e-04 0.035
2 4096 1382 9.996832e-04 0.072
2 8192 1384 9.973784e-04 0.139
2 16384 1385 9.962115e-04 0.259
2 32768 1385 9.981108e-04 0.516
2 65536 1385 9.990605e-04 1.034
3 2 10 9.290507e-04 0.000
3 4 32 8.637158e-04 0.000
3 8 101 9.516504e-04 0.001
3 16 303 9.866165e-04 0.002
3 32 702 9.940066e-04 0.002
3 64 1084 9.972884e-04 0.007
3 128 1264 9.987003e-04 0.008
3 256 1331 9.997889e-04 0.010
3 512 1360 9.968687e-04 0.008
3 1024 1373 9.975512e-04 0.019
3 2048 1379 9.991673e-04 0.030
3 4096 1382 9.996832e-04 0.054
3 8192 1384 9.973784e-04 0.095
3 16384 1385 9.962115e-04 0.180
3 32768 1385 9.981108e-04 0.353
3 65536 1385 9.990605e-04 0.697
4 2 10 9.290507e-04 0.000
4 4 32 8.637158e-04 0.000
4 8 101 9.516504e-04 0.001
4 16 303 9.866165e-04 0.002
4 32 702 9.940066e-04 0.004
4 64 1084 9.972884e-04 0.006
4 128 1264 9.987003e-04 0.008
4 256 1331 9.997889e-04 0.010
4 512 1360 9.968687e-04 0.012
4 1024 1373 9.975512e-04 0.016
4 2048 1379 9.991673e-04 0.026
4 4096 1382 9.996832e-04 0.042
4 8192 1384 9.973784e-04 0.076
4 16384 1385 9.962115e-04 0.133
4 32768 1385 9.981108e-04 0.261
4 65536 1385 9.990605e-04 0.521
5 2 10 9.290507e-04 0.000
5 4 32 8.637158e-04 0.000
5 8 101 9.516504e-04 0.001
5 16 303 9.866165e-04 0.002
5 32 702 9.940066e-04 0.005
5 64 1084 9.972884e-04 0.006
5 128 1264 9.987003e-04 0.009
5 256 1331 9.997889e-04 0.010
5 512 1360 9.968687e-04 0.012
