threads size iterations precision time
1 2 10 9.290507e-04 0.000
1 4 32 8.637158e-04 0.000
1 8 101 9.516504e-04 0.000
1 16 303 9.866165e-04 0.000
1 32 702 9.940066e-04 0.001
1 64 1084 9.972884e-04 0.002
1 128 1264 9.987003e-04 0.003
1 256 1331 9.997889e-04 0.006
1 512 1360 9.968687e-04 0.012
1 1024 1373 9.975512e-04 0.026
1 2048 1379 9.991673e-04 0.045
1 4096 1382 9.996832e-04 0.091
1 8192 1384 9.973784e-04 0.189
1 16384 1385 9.962115e-04 0.368
1 32768 1385 9.981108e-04 0.766
1 65536 1385 9.990605e-04 1.508
2 2 10 9.290507e-04 0.000
2 4 32 8.637158e-04 0.000
2 8 101 9.516504e-04 0.000
2 16 303 9.866165e-04 0.001
2 32 702 9.940066e-04 0.001
2 64 1084 9.972884e-04 0.002
2 128 1264 9.987003e-04 0.003
2 256 1331 9.997889e-04 0.005
2 512 1360 9.968687e-04 0.008
2 1024 1373 9.975512e-04 0.013
2 2048 1379 9.991673e-04 0.026
2 4096 1382 9.996832e-04 0.047
2 8192 1384 9.973784e-04 0.098
2 16384 1385 9.962115e-04 0.200
2 32768 1385 9.981108e-04 0.397
2 65536 1385 9.990605e-04 0.772
3 2 10 9.290507e-04 0.000
3 4 32 8.637158e-04 0.000
3 8 101 9.516504e-04 0.000
3 16 303 9.866165e-04 0.001
3 32 702 9.940066e-04 0.002
3 64 1084 9.972884e-04 0.003
3 128 1264 9.987003e-04 0.003
3 256 1331 9.997889e-04 0.005
3 512 1360 9.968687e-04 0.006
3 1024 1373 9.975512e-04 0.010
3 2048 1379 9.991673e-04 0.018
3 4096 1382 9.996832e-04 0.036
3 8192 1384 9.973784e-04 0.064
3 16384 1385 9.962115e-04 0.127
3 32768 1385 9.981108e-04 0.269
3 65536 1385 9.990605e-04 0.526
4 2 10 9.290507e-04 0.000
4 4 32 8.637158e-04 0.000
4 8 101 9.516504e-04 0.000
4 16 303 9.866165e-04 0.001
4 32 702 9.940066e-04 0.002
4 64 1084 9.972884e-04 0.003
4 128 1264 9.987003e-04 0.003
4 256 1331 9.997889e-04 0.004
4 512 1360 9.968687e-04 0.006
4 1024 1373 9.975512e-04 0.009
4 2048 1379 9.991673e-04 0.015
4 4096 1382 9.996832e-04 0.027
4 8192 1384 9.973784e-04 0.053
4 16384 1385 9.962115e-04 0.100
4 32768 1385 9.981108e-04 0.200
4 65536 1385 9.990605e-04 0.408
5 2 10 9.290507e-04 0.000
5 4 32 8.637158e-04 0.000
5 8 101 9.516504e-04 0.000
5 16 303 9.866165e-04 0.001
5 32 702 9.940066e-04 0.002
5 64 1084 9.972884e-04 0.003
5 128 1264 9.987003e-04 0.004
5 256 1331 9.997889e-04 0.004
5 512 1360 9.968687e-04 0.006
